Item number,Title,Variation details,Custom label (SKU),Available quantity,Format,Currency,Start price,Auction Buy It Now price,Reserve price,Current price,Sold quantity,Watchers,Bids,Start date,End date,eBay category 1 name,eBay category 1 number,eBay category 2 name,eBay category 2 number,Condition,CD:Professional Grader - (ID: 27501),CD:Grade - (ID: 27502),CDA:Certification Number - (ID: 27503),CD:Card Condition - (ID: 40001),eBay Product ID(ePID),Listing site,P:UPC,P:EAN,P:ISBN
395299413467," New Front, Driver Side Bumper Bracket For Nissan Versa 2007-2012",,CAR-NI1062100,10,FIXED_PRICE,USD,13.15,,,13.15,0,,,Mar-27-24 09:56:31 PDT,Apr-27-25 09:56:31 PDT,Bumpers & Reinforcements,33640,,,New,,,,,,US,,,
395299781698," New Front, Passenger Side Bumper Bracket For Hyundai Elantra 2011-2016",,CAR-HY1043107,10,FIXED_PRICE,USD,13.15,,,13.15,0,,,Mar-27-24 14:12:29 PDT,Apr-27-25 14:12:29 PDT,Bumpers & Reinforcements,33640,,,New,,,,,,US,,,
395301598908," New Front, Driver Side Bumper Retainer For BMW 535i 2011-2013",,CAR-BM1026102,2,FIXED_PRICE,USD,13.16,,,13.16,0,,,Mar-28-24 08:07:25 PDT,Apr-28-25 08:07:25 PDT,Bumpers & Reinforcements,33640,,,New,,,,,,US,,,
395617716506," Rear, Driver Side Fender Support For Hyundai Tucson 2016-2021",,CAR-HY1244107,0,FIXED_PRICE,USD,13.16,,,13.16,0,,,Aug-25-24 10:03:47 PDT,Apr-25-25 10:03:47 PDT,Fenders,33644,,,New,,,,,,US,,,
395628892449," Front, Driver Side Fog Light Trim For Toyota Corolla 2014-2014",,CAR-TO1038171,5,FIXED_PRICE,USD,13.16,,,13.16,0,,,Aug-29-24 15:51:45 PDT,Apr-29-25 15:51:45 PDT,Fog Light Assemblies,33709,,,New,,,,,,US,,,
395643217492," Front, Driver Side Bumper Retainer For Toyota Camry 2015-2017",,CAR-TO1032121,10,FIXED_PRICE,USD,13.17,,,13.17,0,,,Sep-02-24 19:52:10 PDT,May-02-25 19:52:10 PDT,Bumpers & Reinforcements,33640,,,New,,,,,,US,,,
395299630642," New Front, Passenger Side Bumper Bracket For Honda Civic 2006-2011",,CAR-HO1043114,10,FIXED_PRICE,USD,13.18,,,13.18,0,,,Mar-27-24 12:20:39 PDT,Apr-27-25 12:20:39 PDT,Bumpers & Reinforcements,33640,,,New,,,,,,US,,,
395448596182," Front, Driver Side Valance For Chevrolet Camaro 2019-2024",,CAR-GM1038268,2,FIXED_PRICE,USD,13.18,,,13.18,0,,,Jun-04-24 10:29:37 PDT,Apr-04-25 10:29:37 PDT,Bumpers & Reinforcements,33640,,,New,,,,,,US,,,
395448596183," Front, Passenger Side Valance For Chevrolet Camaro 2019-2024",,CAR-GM1039268,3,FIXED_PRICE,USD,13.18,,,13.18,0,,,Jun-04-24 10:29:38 PDT,Apr-04-25 10:29:38 PDT,Bumpers & Reinforcements,33640,,,New,,,,,,US,,,
395795047074," New Front, Passenger Side Bumper Retainer For BMW 535i 2014-2015",,CAR-BM1033102,0,FIXED_PRICE,USD,13.2,,,13.2,0,,,Oct-13-24 13:55:16 PDT,Apr-13-25 13:55:16 PDT,Bumpers & Reinforcements,33640,,,New,,,,,,US,,,
395299610260," New Front, Passenger Side Bumper Bracket For Ford Fusion 2013-2016",,CAR-FO1033103,10,FIXED_PRICE,USD,13.23,,,13.23,0,,,Mar-27-24 12:01:31 PDT,Apr-27-25 12:01:31 PDT,Bumpers & Reinforcements,33640,,,New,,,,,,US,,,
395255880430,"New Front, Passenger Side, Lower Bumper Trim For BMW 325i 2006-2008",,CAR-BM1047115,0,FIXED_PRICE,USD,13.24,,,13.24,0,,,Mar-08-24 10:36:42 PST,Apr-08-25 10:36:42 PDT,Body Moldings & Trims,33654,,,New,,,,,,US,,,
395550388449, Washer Reservoir Filler Neck For Honda Civic 2004-2005,,CAR-HO1288144,0,FIXED_PRICE,USD,13.24,,,13.24,0,,,Jul-23-24 13:59:30 PDT,Apr-23-25 13:59:30 PDT,Expansion & Overflow Tanks,174030,,,New,,,,,,US,,,
395643199556, Passenger Side Engine Splash Shield For Mazda CX-9 2016-2023,,MA1251116,8,FIXED_PRICE,USD,13.24,,,13.24,0,,,Sep-02-24 19:40:59 PDT,May-02-25 19:40:59 PDT,Splash Guards & Mud Flaps,50455,,,New,,,,,,US,,,
395439757775," Front, Passenger Side, Outer Bumper Grille For Mercedes Benz S500 2000-2000",,CAR-MB1039101,0,FIXED_PRICE,USD,13.27,,,13.27,0,,,May-31-24 05:00:49 PDT,Apr-30-25 05:00:49 PDT,Bumpers & Reinforcements,33640,,,New,,,,,,US,,,
395628890083," Front, Driver Side Tow Eye Cover For Nissan Versa 2007-2012",,CAR-NI1087119,10,FIXED_PRICE,USD,13.28,,,13.28,0,0,,Aug-29-24 15:50:06 PDT,Apr-29-25 15:50:06 PDT,Bumper Inserts & Covers,262146,,,New,,,,,,US,,,
395299781706," New Front, Driver Side Bumper Bracket For Hyundai Elantra 2011-2016",,CAR-HY1042107,4,FIXED_PRICE,USD,13.29,,,13.29,0,,,Mar-27-24 14:12:30 PDT,Apr-27-25 14:12:30 PDT,Bumpers & Reinforcements,33640,,,New,,,,,,US,,,
395628887040," Front, Driver Side Fog Light Cover For Honda Pilot 2016-2023",,CAR-HO1038127,10,FIXED_PRICE,USD,13.32,,,13.32,0,,,Aug-29-24 15:46:16 PDT,Apr-29-25 15:46:16 PDT,Fog Light Assemblies,33709,,,New,,,,,,US,,,
395643176806," Front, Passenger Side Fog Light Cover For Honda Pilot 2019-2023",,CAR-HO1039127,2,FIXED_PRICE,USD,13.32,,,13.32,0,,,Sep-02-24 19:25:27 PDT,May-02-25 19:25:27 PDT,Fog Light Assemblies,33709,,,New,,,,,,US,,,
395299582475," New Front, Driver Side Bumper Bracket For Hyundai Sonata 2011-2014",,CAR-HY1032102,4,FIXED_PRICE,USD,13.34,,,13.34,0,,,Mar-27-24 11:35:34 PDT,Apr-27-25 11:35:34 PDT,Bumpers & Reinforcements,33640,,,New,,,,,,US,,,
395299628132," New Front, Driver Side Bumper Bracket For Hyundai Sonata 2015-2017",,HY1042114,5,FIXED_PRICE,USD,13.34,,,13.34,0,,,Mar-27-24 12:18:42 PDT,Apr-27-25 12:18:42 PDT,Bumpers & Reinforcements,33640,,,New,,,,,,US,,,
395255971183,"New Front, Driver Side, Upper Fog Light Trim For Audi A4 2005-2009",,CAR-AU2600101,10,FIXED_PRICE,USD,13.35,,,13.35,0,,,Mar-08-24 11:24:49 PST,Apr-08-25 11:24:49 PDT,Body Moldings & Trims,33654,,,New,,,,,,US,,,
395299493191," New Rear, Passenger Side Bumper Bracket For Toyota Corolla 2009-2013",,CAR-TO1143101,10,FIXED_PRICE,USD,13.36,,,13.36,0,,,Mar-27-24 10:40:50 PDT,Apr-27-25 10:40:50 PDT,Bumpers & Reinforcements,33640,,,New,,,,,,US,,,
